Cober,Set,Tipo,Nobs,SC,0D,1D,2D,ir0,ir1,ir2,ur0,ur1,ur2
Bn,s1,Obs,710,0.994,25,6.764,3.811,2.825,0.682,0.348,2.825,0.681,0.349
Rs,s1,Obs,12,0.764,5,3.436,2.571,2.352,2.071,1.786,2.352,2.071,1.786
Pa,s1,Obs,22,0.868,6,3.821,2.951,2.436,1.655,1.246,2.436,1.654,1.246
Bn,s2,Int,12,0.76,5.164,3.888,3.097,0.318,0.266,0.211,0.317,0.266,0.211
Rs,s2,Obs,12,0.764,5,3.436,2.571,2.352,2.071,1.786,2.352,2.071,1.786
Pa,s2,Int,6,0.754,3.185,2.723,2.365,0.819,0.792,0.689,0.819,0.793,0.69
Bn,s3,Int,48,0.88 ,11.353,5.454,3.614,0.8,0.503,0.307,0.801,0.504,0.307
Rs,s3,Ext,24,0.88 ,7.089,4.195,2.769,4.383,2.979,2.292,4.383,2.979,2.293
Pa,s3,Ext,23,0.87 ,6.132,3.853,2.963,2.532,1.681,1.259,2.533,1.681,1.26
Bn,s4,Obs,710,0.994,25,6.764,3.811,2.825,0.682,0.348,2.825,0.681,0.349
Rs,s4,Ext,72,0.993,9.004,4.948,2.919,7.482,4.301,2.781,7.483,4.301,2.781
Pa,s4,Ext,116,0.993,10.068,4.766,3.192,7.403,2.575,1.538,7.402,2.576,1.537
